PHYSICIAN,PSIC-1,PHY1,"44-1,Meadow Towers, New Jersey, 07096","1-123-456-7890","Physiotherapy,Osteopathy","Neural mobilisation,Acupuncture,Massage,Mobilisation of the spine and joints"
PHYSICIAN,PSIC-2,PHY2,"44-2,Meadow Towers, New Jersey, 07096","1-234-456-7890","Osteopathy,Rehabilitation","Massage,Mobilisation of the spine and joints,Pool rehabilitation"
PHYSICIAN,PSIC-3,PHY3,"44-3,Meadow Towers, New Jersey, 07096","1-456-456-7890","Physiotherapy,Rehabilitation","Neural mobilisation,Acupuncture,Pool rehabilitation"
PHYSICIAN,PSIC-4,PHY4,"44-4,Meadow Towers, New Jersey, 07096","1-789-456-7890","Physiotherapy,Osteopathy","Neural mobilisation,Acupuncture,Massage,Mobilisation of the spine and joints"
PHYSICIAN,PSIC-5,PHY5,"44-5,Meadow Towers, New Jersey, 07096","1-134-456-7890","Osteopathy,Rehabilitation","Massage,Mobilisation of the spine and joints,Pool rehabilitation"
PATIENT,PSIC-6,P1,"103-1,Meadow Towers, New Jersey, 07096","1-134-457-7890"
PATIENT,PSIC-7,P2,"103-2,Meadow Towers, New Jersey, 07096","1-134-458-7890"
PATIENT,PSIC-8,P3,"103-3,Meadow Towers, New Jersey, 07096","1-134-459-7890"
PATIENT,PSIC-9,P4,"103-4,Meadow Towers, New Jersey, 07096","1-134-555-7890"
PATIENT,PSIC-10,P5,"103-5,Meadow Towers, New Jersey, 07096","1-134-556-7890"
PATIENT,PSIC-11,P6,"103-6,Meadow Towers, New Jersey, 07096","1-134-557-7890"
PATIENT,PSIC-12,P7,"103-7,Meadow Towers, New Jersey, 07096","1-134-558-7890"
PATIENT,PSIC-13,P8,"103-8,Meadow Towers, New Jersey, 07096","1-134-559-7890"
PATIENT,PSIC-14,P9,"103-9,Meadow Towers, New Jersey, 07096","1-134-600-7890"
PATIENT,PSIC-15,P10,"103-10,Meadow Towers, New Jersey, 07096","1-134-601-7890"
PATIENT,PSIC-16,P11,"103-11,Meadow Towers, New Jersey, 07096","1-134-602-7890"
PATIENT,PSIC-17,P12,"103-12,Meadow Towers, New Jersey, 07096","1-134-603-7890"
PATIENT,PSIC-18,P13,"103-13,Meadow Towers, New Jersey, 07096","1-134-604-7890"
PATIENT,PSIC-19,P14,"103-14,Meadow Towers, New Jersey, 07096","1-134-605-7890"
PATIENT,PSIC-20,P15,"103-15,Meadow Towers, New Jersey, 07096","1-134-606-7890"
